sa2_code_2021,median_weekly_rent,uni_share,uni_students,total_students,overseas_share,p_australia_tot,p_tot_tot,intl_student_proxy,suburb
206071140,541,0.43089074155331286,982,2279,0.26105546054238943,6049,8186,0.11248638097965179,SA2_206071140
206071141,425,0.3371996685998343,814,2414,0.41616733849003157,5359,9179,0.1403314886209137,SA2_206071141
206071142,451,0.3125,910,2912,0.39746908254242164,6285,10431,0.12420908829450676,SA2_206071142
206071143,481,0.34138625251653726,1187,3477,0.28925749158907754,9084,12781,0.09874853106592897,SA2_206071143
206071145,500,0.27196500182282174,746,2743,0.2510400811770675,7381,9855,0.06827411613492249,SA2_206071145
206071517,508,0.3438170121515368,1443,4197,0.2824967460811499,12679,17671,0.09712718718015233,SA2_206071517
206071518,400,0.3322928490351873,1171,3524,0.4256868825268623,7964,13867,0.14145270699175816,SA2_206071518
207011146,455,0.21467181467181468,556,2590,0.307092555331992,5510,7952,0.06592411612532338,SA2_207011146
207011147,461,0.2551416375630578,1315,5154,0.47027160799356554,8562,16163,0.1199858681628907,SA2_207011147
207011148,554,0.23165647581989995,1667,7196,0.4576054537707712,11457,21123,0.10600726673650301,SA2_207011148
207011149,490,0.2653828794945088,1764,6647,0.3398172569706104,14017,21232,0.09018168215678601,SA2_207011149
207011150,522,0.24306688417618272,1341,5517,0.29039158595281955,11942,16829,0.070584577988532,SA2_207011150
207011152,411,0.3051524710830705,1451,4755,0.3418770721754654,10322,15684,0.1043246333809885,SA2_207011152
207011154,466,0.24293243890752275,507,2087,0.30345572354211664,4515,6482,0.07371923902053336,SA2_207011154
207011155,475,0.2487936691758348,1289,5181,0.3102107375815354,10998,15944,0.07717846762065221,SA2_207011155
207011519,401,0.37069753274444106,1217,3283,0.2885743174924166,7036,9890,0.10697378750784982,SA2_207011519
207011520,400,0.38393574297188754,1434,3735,0.34640796186334366,7815,11957,0.13299839820938014,SA2_207011520
207011521,501,0.2849519743863394,1068,3748,0.3293681579174209,7780,11601,0.09385410689856072,SA2_207011521
207011522,456,0.25119077463023315,1002,3989,0.3455019556714472,8534,13039,0.0867869038813713,SA2_207011522
207021156,460,0.23055841041452552,673,2919,0.43883426344228893,6335,11289,0.10117693021468326,SA2_207021156
207021157,450,0.2449245939675174,1689,6896,0.579592165712904,10432,24814,0.14195637585398707,SA2_207021157
207021159,513,0.19821162444113263,931,4697,0.4546151125780974,9253,16966,0.09010999995959307,SA2_207021159
207021160,475,0.17575913535769427,683,3886,0.42794729053625535,8118,14191,0.07521564576332022,SA2_207021160
207021424,497,0.21170970614425647,951,4492,0.5297345584481878,7370,15672,0.1121499477035233,SA2_207021424
207021425,460,0.1727292065517975,812,4701,0.565872913161641,6709,15454,0.09774277929956446,SA2_207021425
207031161,420,0.2171945701357466,1488,6851,0.3613950963539311,14117,22106,0.07849305260175879,SA2_207031161
207031162,410,0.19690533980582525,649,3296,0.39866532589816256,6578,10939,0.07849933146477776,SA2_207031162
207031163,391,0.29793510324483774,2424,8136,0.5886344730966245,9396,22841,0.17537487251551348,SA2_207031163
207031164,438,0.22208758871386533,1283,5777,0.46005737614476444,9787,18126,0.10217303333801848,SA2_207031164
207031165,401,0.41131105398457585,1920,4668,0.5333171206225681,5757,12336,0.21935922699128765,SA2_207031165
207031166,439,0.2603924176920519,783,3007,0.5466978922716628,4839,10675,0.1423559859157672,SA2_207031166
207031167,462,0.2613418530351438,818,3130,0.3275624631123352,6836,10166,0.08560578109453362,SA2_207031167
208011168,612,0.18164794007490637,776,4272,0.2637472362884245,10323,14021,0.0479091421722419,SA2_208011168
208011169,600,0.21565641181845874,1416,6566,0.3090341857808243,15725,22758,0.06664520363473153,SA2_208011169
208011170,602,0.18042584983190138,966,5354,0.3269044740024184,11133,16540,0.05898201753573705,SA2_208011170
